id,bank_name,city,state,cert,acquiring_institution,closing_date,fund
252,United Western Bank,Denver,CO,31293,First-Citizens Bank & Trust Company,2011-01-21,10331
253,The Bank of Asheville,Asheville,NC,34516,First Bank,2011-01-21,10330
254,CommunitySouth Bank & Trust,Easley,SC,57868,"CertusBank, National Association",2011-01-21,10328
255,Enterprise Banking Company,McDonough,GA,19758,No Acquirer,2011-01-21,10329
256,Oglethorpe Bank,Brunswick,GA,57440,Bank of the Ozarks,2011-01-14,10327
257,Legacy Bank,Scottsdale,AZ,57820,Enterprise Bank & Trust,2011-01-07,10326
258,First Commercial Bank of Florida,Orlando,FL,34965,First Southern Bank,2011-01-07,10325
259,Community National Bank,Lino Lakes,MN,23306,Farmers & Merchants Savings Bank,2010-12-17,10321
260,First Southern Bank,Batesville,AR,58052,Southern Bank,2010-12-17,10322
261,"United Americas Bank, N.A.",Atlanta,GA,35065,State Bank and Trust Company,2010-12-17,10323
262,"Appalachian Community Bank, FSB",McCaysville,GA,58495,Peoples Bank of East Tennessee,2010-12-17,10319
263,Chestatee State Bank,Dawsonville,GA,34578,Bank of the Ozarks,2010-12-17,10320
264,"The Bank of Miami,N.A.",Coral Gables,FL,19040,1st United Bank,2010-12-17,10324
265,Earthstar Bank,Southampton,PA,35561,Polonia Bank,2010-12-10,10317
266,Paramount Bank,Farmington Hills,MI,34673,Level One Bank,2010-12-10,10318
267,First Banking Center,Burlington,WI,5287,First Michigan Bank,2010-11-19,10315
268,Allegiance Bank of North America,Bala Cynwyd,PA,35078,VIST Bank,2010-11-19,10314
269,Gulf State Community Bank,Carrabelle,FL,20340,Centennial Bank,2010-11-19,10316
270,Copper Star Bank,Scottsdale,AZ,35463,"Stearns Bank, N.A.",2010-11-12,10311
271,Darby Bank & Trust Co.,Vidalia,GA,14580,Ameris Bank,2010-11-12,10312
272,Tifton Banking Company,Tifton,GA,57831,Ameris Bank,2010-11-12,10313
273,First Vietnamese American Bank,Westminster,CA,57885,Grandpoint Bank,2010-11-05,10307
274,Pierce Commercial Bank,Tacoma,WA,34411,Heritage Bank,2010-11-05,10309
275,Western Commercial Bank,Woodland Hills,CA,58087,First California Bank,2010-11-05,10310
276,K Bank,Randallstown,MD,31263,Manufacturers and Traders Trust Company (M&T Bank),2010-11-05,10308
277,"First Arizona Savings, A FSB",Scottsdale,AZ,32582,No Acquirer,2010-10-22,10306
278,Hillcrest Bank,Overland Park,KS,22173,"Hillcrest Bank, N.A.",2010-10-22,10302
279,First Suburban National Bank,Maywood,IL,16089,Seaway Bank and Trust Company,2010-10-22,10301
280,The First National Bank of Barnesville,Barnesville,GA,2119,United Bank,2010-10-22,10304
281,The Gordon Bank,Gordon,GA,33904,Morris Bank,2010-10-22,10305
282,Progress Bank of Florida,Tampa,FL,32251,Bay Cities Bank,2010-10-22,10303
283,First Bank of Jacksonville,Jacksonville,FL,27573,Ameris Bank,2010-10-22,10300
284,Premier Bank,Jefferson City,MO,34016,Providence Bank,2010-10-15,10297
285,WestBridge Bank and Trust Company,Chesterfield,MO,58205,Midland States Bank,2010-10-15,10299
286,"Security Savings Bank, F.S.B.",Olathe,KS,30898,Simmons First National Bank,2010-10-15,10298
287,Shoreline Bank,Shoreline,WA,35250,GBC International Bank,2010-10-01,10295
288,Wakulla Bank,Crawfordville,FL,21777,Centennial Bank,2010-10-01,10296
289,North County Bank,Arlington,WA,35053,Whidbey Island Bank,2010-09-24,10294
290,Haven Trust Bank Florida,Ponte Vedra Beach,FL,58308,First Southern Bank,2010-09-24,10293
291,Maritime Savings Bank,West Allis,WI,28612,"North Shore Bank, FSB",2010-09-17,10291
292,Bramble Savings Bank,Milford,OH,27808,Foundation Bank,2010-09-17,10288
293,The Peoples Bank,Winder,GA,182,Community & Southern Bank,2010-09-17,10292
294,First Commerce Community Bank,Douglasville,GA,57448,Community & Southern Bank,2010-09-17,10289
295,Bank of Ellijay,Ellijay,GA,58197,Community & Southern Bank,2010-09-17,10287
296,ISN Bank,Cherry Hill,NJ,57107,Customers Bank,2010-09-17,10290
